Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
B3GALNT2	Q8NCR0	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2	56.7	500	57	0					0%	100%	Mostly Organellar	6,976	14.7	4.3	1.2
B3GALT6	Q96L58	Beta-1,3-galactosyltransferase 6	37.1	329	77	0					0%	100%	Mostly Organellar	9,260	17.9	5.7	1.1
B3GNT2	Q9NY97	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2	46.0	397	26	0					0%	100%	Mostly Organellar	4,028	9.8	2.5	0.6
B3GNTL1	Q67FW5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1	40.7	361	22	0					51%	49%	Organellar and Cytosolic	5,208	11.9	3.2	0.7
B4GALT2	O60909	Beta-1,4-galactosyltransferase 2	42.0	372	6	0					0%	100%	Mostly Organellar	552	0.6	0.3	0.1
B4GALT7	Q9UBV7	Beta-1,4-galactosyltransferase 7	37.4	327	60	0					0%	100%	Mostly Organellar	4,066	9.8	2.5	0.5
BABAM1	Q9NWV8	BRISC and BRCA1-A complex member 1	36.6	329	198	0					88%	12%	Mostly Cytosolic	289,958	70.0	179.4	33.0
BACH1	O14867	Transcription regulator protein BACH1	82.0	736	35	0					54%	46%	Nuclear and Cytosolic	10,853	19.8	6.7	2.8
BAD	Q92934	Bcl2-associated agonist of cell death	18.4	168	90	0					33%	67%	Organellar and Cytosolic	28,540	32.9	17.7	1.6
BAG4	O95429	BAG family molecular chaperone regulator 4	49.6	457	39	0					93%	7%	Mostly Cytosolic	23,950	30.2	14.8	3.7
BAHCC1	Q9P281	BAH and coiled-coil domain-containing protein 1	276.9	2608	40	0					13%	87%	Mostly Organellar	3,185	7.8	2.0	2.7
BAHD1	Q8TBE0	Bromo adjacent homology domain-containing 1 protein	84.7	780	35	0					1%	99%	Mostly Nuclear	10,184	19.0	6.3	2.7
BAK1	Q16611	Bcl-2 homologous antagonist/killer	23.4	211	236	0					0%	100%	Mostly Organellar	58,692	44.0	36.3	4.3
BAMBI	Q13145	BMP and activin membrane-bound inhibitor homolog	29.1	260	7	0					0%	100%	Mostly Organellar	2,007	4.8	1.2	0.2
BANP	Q8N9N5	Protein BANP	56.5	519	57	0					1%	99%	Mostly Nuclear	94,810	52.2	58.7	16.7
BAP1	Q92560	Ubiquitin carboxyl-terminal hydrolase BAP1	80.4	729	56	0					0%	100%	Mostly Nuclear	19,283	27.1	11.9	4.8
BAP18	Q8IXM2	Chromatin complexes subunit BAP18	17.9	172	62	0					5%	95%	Mostly Nuclear	190,464	63.3	117.8	10.6
BAP18	Q8IXM2-2	Chromatin complexes subunit BAP18	14.0	138	7	0					0%	100%	Mostly Nuclear	10,832	19.8	6.7	0.5
BARD1	Q99728	BRCA1-associated RING domain protein 1	86.6	777	83	0					0%	100%	Mostly Nuclear	33,047	34.9	20.4	8.9
BARX1	Q9HBU1	Homeobox protein BarH-like 1	27.3	254	16	0					0%	100%	Mostly Nuclear	9,386	18.1	5.8	0.8
BAZ1A	Q9NRL2	Bromodomain adjacent to zinc finger domain protein 1A	178.7	1556	403	0					0%	100%	Mostly Nuclear	134,697	57.9	83.3	74.8
BAZ2A	Q9UIF9	Bromodomain adjacent to zinc finger domain protein 2A	211.2	1905	271	0					0%	100%	Mostly Nuclear	50,482	41.5	31.2	33.1
BAZ2B	Q9UIF8	Bromodomain adjacent to zinc finger domain protein 2B	240.5	2168	50	0					0%	100%	Mostly Nuclear	3,507	8.6	2.2	2.6
BBC3	Q9BXH1	Bcl-2-binding component 3	20.5	193	22	0					81%	19%	Broad distribution	93,095	51.9	57.6	5.9
BBS4	Q96RK4	Bardet-Biedl syndrome 4 protein	58.3	519	17	0					19%	81%	Organellar and Cytosolic	2,002	4.7	1.2	0.4
BBX	Q8WY36	HMG box transcription factor BBX	105.1	941	204	0					0%	100%	Mostly Nuclear	58,768	44.0	36.4	19.2
BCAS3	Q9H6U6	Breast carcinoma-amplified sequence 3	101.2	928	42	0					56%	44%	Nuclear and Cytosolic	19,427	27.2	12.0	6.1
BCCIP	Q9P287-2	BRCA2 and CDKN1A-interacting protein	36.2	322	12	0					100%	0%	Mostly Cytosolic	21,242	28.3	13.1	2.4
BCDIN3D	Q7Z5W3	Pre-miRNA 5-monophosphate methyltransferase	33.2	292	11	0					93%	7%	Mostly Cytosolic	2,569	6.4	1.6	0.3
BCL10	O95999	B-cell lymphoma/leukemia 10	26.3	233	90	0					96%	4%	Mostly Cytosolic	219,286	65.6	135.7	17.9
BCL2	P10415	Apoptosis regulator Bcl-2	26.3	239	34	0					2%	98%	Mostly Organellar	5,202	11.9	3.2	0.4
BCL2L1	Q07817	Bcl-2-like protein 1	26.0	233	104	0					19%	81%	Organellar and Cytosolic	24,819	30.7	15.4	2.0
BCL2L2	Q92843-2	Bcl-2-like protein 2	37.2	333	12	0					59%	41%	Nuclear and Cytosolic	6,164	13.5	3.8	0.7
BCL3	P20749	B-cell lymphoma 3 protein	47.6	454	7	0					98%	2%	Mostly Cytosolic	3,521	8.6	2.2	0.5
BCL6	P41182	B-cell lymphoma 6 protein	78.8	706	7	0					0%	100%	Mostly Nuclear	2,305	5.7	1.4	0.6
BCL7A	Q4VC05-2	B-cell CLL/lymphoma 7 protein family member A	25.0	231	68	0					2%	98%	Mostly Nuclear	110,828	55.0	68.6	8.6
BCL7A	Q4VC05	B-cell CLL/lymphoma 7 protein family member A	22.8	210	10	0					0%	100%	Mostly Nuclear	5,562	12.6	3.4	0.4
BCL7B	Q9BQE9	B-cell CLL/lymphoma 7 protein family member B	22.2	202	49	0					0%	100%	Mostly Nuclear	69,287	46.8	42.9	4.8
BCL7C	Q8WUZ0	B-cell CLL/lymphoma 7 protein family member C	23.5	217	73	0					0%	100%	Mostly Nuclear	223,831	66.0	138.5	16.3
BCL9	O00512	B-cell CLL/lymphoma 9 protein	149.3	1426	47	0					90%	10%	Mostly Cytosolic	9,106	17.7	5.6	4.2
BCLAF1	Q9NYF8-3	Bcl-2-associated transcription factor 1	100.2	869	32	0					17%	83%	Nuclear and Cytosolic	12,903	21.8	8.0	4.0
BCOR	Q6W2J9	BCL-6 corepressor	192.2	1755	391	0					12%	88%	Mostly Nuclear	68,094	46.4	42.1	40.7
BCORL1	Q5H9F3-3	BCL-6 corepressor-like protein 1	190.6	1785	119	0					1%	99%	Mostly Nuclear	12,160	21.2	7.5	7.2
BDP1	A6H8Y1	Transcription factor TFIIIB component B homolog	293.9	2624	47	0					0%	100%	Mostly Nuclear	2,927	7.2	1.8	2.7
BEGAIN	Q9BUH8	Brain-enriched guanylate kinase-associated protein	64.8	593	25	0					86%	14%	Mostly Cytosolic	5,442	12.3	3.4	1.1
BEND3	Q5T5X7	BEN domain-containing protein 3	94.5	828	176	0					0%	100%	Mostly Nuclear	51,257	41.9	31.7	15.1
BFAR	Q9NZS9	Bifunctional apoptosis regulator	52.7	450	22	0					0%	100%	Mostly Organellar	2,845	7.1	1.8	0.5
BHLHE40	O14503	Class E basic helix-loop-helix protein 40	45.5	412	20	0					0%	100%	Mostly Nuclear	8,466	16.8	5.2	1.2
BIN3	Q9NQY0	Bridging integrator 3	29.7	253	36	0					99%	1%	Mostly Cytosolic	37,136	36.8	23.0	3.4
BIRC2	Q13490	Baculoviral IAP repeat-containing protein 2	69.9	618	59	0					100%	0%	Mostly Cytosolic	35,553	36.1	22.0	7.7
BIRC5	O15392	Baculoviral IAP repeat-containing protein 5	16.4	142	85	0					14%	86%	Broad distribution	198,045	63.9	122.5	10.1
BLOC1S6	Q9UL45	Biogenesis of lysosome-related organelles complex 1 subunit 6	19.7	172	49	0					88%	12%	Mostly Cytosolic	18,340	26.4	11.3	1.1
BLZF1	Q9H2G9	Golgin-45	44.9	400	44	0					0%	100%	Mostly Organellar	6,080	13.4	3.8	0.8
BMI1	P35226	Polycomb complex protein BMI-1	36.9	326	49	0					0%	100%	Mostly Nuclear	102,963	53.9	63.7	11.8
BMP2	P12643	Bone morphogenetic protein 2	44.7	396	22	0					0%	100%	Mostly Organellar	1,547	3.3	1.0	0.2
BMP6	P22004	Bone morphogenetic protein 6	57.2	513	85	0					35%	65%	Organellar and Cytosolic	7,718	15.7	4.8	1.4
BNC2	Q6ZN30	Zinc finger protein basonuclin-2	122.3	1099	40	0					0%	100%	Mostly Nuclear	6,812	14.5	4.2	2.6
BNIP2	Q12982-2	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	43.1	376	45	0					99%	1%	Mostly Cytosolic	46,038	40.1	28.5	6.2
BNIP3L	O60238	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like	23.9	219	33	0					0%	100%	Mostly Organellar	9,702	18.5	6.0	0.7
BOD1	Q96IK1	Biorientation of chromosomes in cell division protein 1	19.2	185	16	0					90%	10%	Mostly Cytosolic	22,420	29.4	13.9	1.3
BOD1L1	Q8NFC6	Biorientation of chromosomes in cell division protein 1-like 1	330.5	3051	973	0					4%	96%	Mostly Nuclear	127,673	57.0	79.0	131.2
BOLA1	Q9Y3E2	BolA-like protein 1	14.3	137	121	0					89%	11%	Mostly Cytosolic	166,335	61.2	102.9	7.4
BOP	Q7L3V2	Protein Bop	39.3	364	8	0					100%	0%	Mostly Cytosolic	4,811	11.2	3.0	0.6
BORA	Q6PGQ7	Protein aurora borealis	61.2	559	9	0					100%	0%	Mostly Cytosolic	1,708	3.8	1.1	0.3
BPGM	P07738	Bisphosphoglycerate mutase	30.0	259	54	0					100%	0%	Mostly Cytosolic	74,213	48.0	45.9	6.9
BRAF	P15056	Serine/threonine-protein kinase B-raf	84.4	766	18	0					100%	0%	Mostly Cytosolic	9,059	17.6	5.6	2.4
BRAT1	Q6PJG6	BRCA1-associated ATM activator 1	88.1	821	189	0					98%	2%	Mostly Cytosolic	99,844	53.3	61.8	27.4
BRCA1	P38398	Breast cancer type 1 susceptibility protein	207.7	1863	167	0					4%	96%	Mostly Nuclear	19,605	27.3	12.1	12.7
BRCA2	P51587	Breast cancer type 2 susceptibility protein	384.2	3418	83	0					0%	100%	Broad distribution	2,176	5.2	1.3	2.6
BRCC3	P46736	Lys-63-specific deubiquitinase BRCC36	36.1	316	321	0					83%	17%	Broad distribution	382,912	74.2	236.9	42.9
BRD1	O95696-2	Bromodomain-containing protein 1	133.2	1189	193	0					1%	99%	Mostly Nuclear	48,778	41.0	30.2	20.2
BRD1	O95696	Bromodomain-containing protein 1	119.5	1058	19	0					0%	100%	Mostly Nuclear	2,700	6.7	1.7	1.0
BRD2	P25440	Bromodomain-containing protein 2	88.1	801	329	0					1%	99%	Mostly Nuclear	281,230	69.6	174.0	77.0
BRD3	Q15059	Bromodomain-containing protein 3	79.5	726	203	0					0%	100%	Mostly Nuclear	122,171	56.4	75.6	30.2
BRD4	O60885	Bromodomain-containing protein 4	152.2	1362	542	0					0%	100%	Mostly Nuclear	207,774	64.7	128.5	98.3
BRD7	Q9NPI1	Bromodomain-containing protein 7	74.1	651	232	0					0%	100%	Mostly Nuclear	178,764	62.4	110.6	41.2
BRD7	Q9NPI1-2	Bromodomain-containing protein 7	74.3	652	8	0					0%	100%	Mostly Nuclear	1,494	3.1	0.9	0.3
BRD8	Q9H0E9-2	Bromodomain-containing protein 8	102.8	951	203	0					0%	100%	Mostly Nuclear	81,411	49.6	50.4	26.0
BRD9	Q9H8M2	Bromodomain-containing protein 9	67.0	597	83	0					4%	96%	Mostly Nuclear	22,375	29.4	13.8	4.7
BRE	Q9NXR7	BRCA1-A complex subunit BRE	43.6	383	146	0					84%	16%	Broad distribution	205,413	64.5	127.1	27.8
BRF1	Q92994	Transcription factor IIIB 90 kDa subunit	73.8	677	23	0					83%	17%	Nuclear and Cytosolic	8,355	16.7	5.2	1.9
BRF2	Q9HAW0	Transcription factor IIIB 50 kDa subunit	46.5	419	7	0					0%	100%	Mostly Nuclear	1,773	4.0	1.1	0.3
BRI3	O95415	Brain protein I3	13.6	125	85	0					0%	100%	Mostly Organellar	27,973	32.5	17.3	1.2
BRIP1	Q9BX63	Fanconi anemia group J protein	140.9	1249	94	0					49%	51%	Nuclear and Cytosolic	10,294	19.1	6.4	4.5
BRMS1	Q9HCU9	Breast cancer metastasis-suppressor 1	28.5	246	44	0					0%	100%	Mostly Nuclear	37,996	37.2	23.5	3.4
BRMS1L	Q5PSV4	Breast cancer metastasis-suppressor 1-like protein	37.6	323	51	0					0%	100%	Mostly Nuclear	62,911	45.1	38.9	7.4
BRPF1	P55201	Peregrin	137.5	1214	99	0					0%	100%	Mostly Nuclear	15,384	24.0	9.5	6.6
BRPF3	Q9ULD4	Bromodomain and PHD finger-containing protein 3	135.7	1205	51	0					3%	97%	Mostly Nuclear	5,772	12.9	3.6	2.4
BRWD1	Q9NSI6-2	Bromodomain and WD repeat-containing protein 1	257.2	2269	177	0					0%	100%	Mostly Nuclear	22,532	29.4	13.9	18.0
BRWD3	Q6RI45	Bromodomain and WD repeat-containing protein 3	203.6	1802	41	0					0%	100%	Mostly Nuclear	2,718	6.8	1.7	1.7
BSCL2	Q96G97	Seipin	44.4	398	6	0					0%	100%	Mostly Organellar	1,810	4.1	1.1	0.2
BTAF1	O14981	TATA-binding protein-associated factor 172	206.9	1849	659	0					75%	25%	Nuclear and Cytosolic	125,395	56.7	77.6	80.7
BTBD10	Q9BSF8	BTB/POZ domain-containing protein 10	53.8	475	20	0					95%	5%	Mostly Cytosolic	4,309	10.4	2.7	0.7
BTBD2	Q9BX70	BTB/POZ domain-containing protein 2	55.9	525	57	0					51%	49%	Organellar and Cytosolic	6,151	13.5	3.8	1.1
BTBD3	Q9Y2F9-2	BTB/POZ domain-containing protein 3	51.5	461	21	0					85%	15%	Broad distribution	6,220	13.6	3.8	1.0
BTN3A2	P78410	Butyrophilin subfamily 3 member A2	36.4	334	51	0					0%	100%	Mostly Organellar	14,087	22.8	8.7	1.6
BUB1	O43683	Mitotic checkpoint serine/threonine-protein kinase BUB1	122.4	1085	163	0					80%	20%	Nuclear and Cytosolic	28,531	32.9	17.7	10.9
C10orf12	Q8N655	Uncharacterized protein C10orf12	137.2	1247	90	0					0%	100%	Mostly Nuclear	12,229	21.3	7.6	5.2
C10orf88	Q9H8K7	Uncharacterized protein C10orf88	49.2	445	14	0					88%	12%	Mostly Cytosolic	7,237	15.0	4.5	1.1
C11orf49	Q9H6J7	UPF0705 protein C11orf49	37.4	331	2	0					100%	0%	Mostly Cytosolic	1,934	4.5	1.2	0.2
C11orf54	Q9H0W9	Ester hydrolase C11orf54	35.1	315	135	0					100%	0%	Mostly Cytosolic	221,661	65.8	137.1	24.2
C11orf57	Q6ZUT1	Uncharacterized protein C11orf57	34.1	292	57	0					6%	94%	Mostly Nuclear	18,818	26.7	11.6	2.0
C11orf68	Q9H3H3-2	UPF0696 protein C11orf68	31.4	292	95	0					96%	4%	Mostly Cytosolic	178,973	62.4	110.7	17.5
C11orf73	Q53FT3	Protein Hikeshi	21.6	197	63	0					96%	4%	Mostly Cytosolic	260,029	68.3	160.9	17.5
C11orf84	Q9BUA3	Uncharacterized protein C11orf84	41.0	381	34	0					15%	85%	Mostly Nuclear	19,132	26.9	11.8	2.4
C12orf4	Q9NQ89	Protein C12orf4	63.8	552	21	0					81%	19%	Organellar and Cytosolic	2,072	4.9	1.3	0.4
C12orf45	Q8N5I9	Uncharacterized protein C12orf45	20.1	185	96	0					93%	7%	Mostly Cytosolic	326,553	72.0	202.0	20.4
C12orf65	Q9H3J6	Probable peptide chain release factor C12orf65, mitochondrial	18.8	166	83	0					0%	100%	Mostly Organellar	31,202	34.3	19.3	1.8
C12orf66	Q96MD2	UPF0536 protein C12orf66	50.4	445	17	0					0%	100%	Mostly Organellar	1,471	3.0	0.9	0.2
C12orf73	Q69YU5	Uncharacterized protein C12orf73	8.0	71	202	0					2%	98%	Mostly Organellar	216,814	65.4	134.1	5.4
C14orf119	Q9NWQ9	Uncharacterized protein C14orf119	16.0	140	10	0					100%	0%	Mostly Cytosolic	20,932	28.1	12.9	1.0
C14orf142	Q9BXV9	Uncharacterized protein C14orf142	10.9	100	42	0					100%	0%	Mostly Cytosolic	242,173	67.3	149.8	8.2
C14orf80	Q86SX3	Uncharacterized protein C14orf80	54.2	495	100	0					26%	74%	Organellar and Cytosolic	6,802	14.5	4.2	1.1
C14orf93	Q9H972	Uncharacterized protein C14orf93	58.7	538	5	0					0%	100%	Mostly Nuclear	1,696	3.7	1.0	0.3
C15orf39	Q6ZRI6	Uncharacterized protein C15orf39	110.7	1047	63	0					92%	8%	Mostly Cytosolic	8,573	16.9	5.3	2.9
C15orf41	Q9Y2V0	Uncharacterized protein C15orf41	32.3	281	11	0					80%	20%	Broad distribution	4,918	11.4	3.0	0.5
C15orf57	Q9BV29	Uncharacterized protein C15orf57	20.7	185	15	0					100%	0%	Mostly Cytosolic	17,277	25.5	10.7	1.1
C15orf61	A6NNL5	Uncharacterized protein C15orf61	18.1	157	40	0					0%	100%	Mostly Organellar	11,548	20.6	7.1	0.6
C16orf13	Q96S19	UPF0585 protein C16orf13	22.6	204	78	0					96%	4%	Mostly Cytosolic	104,613	54.1	64.7	7.3
C16orf59	Q7L2K0	Uncharacterized protein C16orf59	46.4	433	34	0					0%	100%	Mostly Organellar	1,734	3.8	1.1	0.3
C16orf70	Q9BSU1	UPF0183 protein C16orf70	47.5	422	34	0					90%	10%	Mostly Cytosolic	12,267	21.3	7.6	1.8
C16orf72	Q14CZ0	UPF0472 protein C16orf72	30.9	275	7	0					100%	0%	Mostly Cytosolic	4,954	11.5	3.1	0.5
C16orf87	Q6PH81	UPF0547 protein C16orf87	17.8	154	38	0					63%	37%	Nuclear and Cytosolic	62,366	45.0	38.6	3.5
C17orf53	Q8N3J3	Uncharacterized protein C17orf53	69.8	647	18	0					44%	56%	Nuclear and Cytosolic	4,373	10.5	2.7	0.9
C17orf96	A6NHQ4	Uncharacterized protein C17orf96	39.3	379	13	0					0%	100%	Mostly Nuclear	6,482	14.0	4.0	0.8
C18orf21	Q32NC0	UPF0711 protein C18orf21	24.8	220	108	0					4%	96%	Mostly Nuclear	142,029	58.7	87.9	11.0
C18orf25	Q96B23-2	Uncharacterized protein C18orf25	37.0	342	84	0					76%	24%	Nuclear and Cytosolic	133,794	57.8	82.8	15.4
C19orf12	Q9NSK7	Protein C19orf12	16.3	152	6	0					100%	0%	Mostly Cytosolic	7,929	16.1	4.9	0.4
C19orf47	Q8N9M1	Uncharacterized protein C19orf47	44.7	422	116	0					0%	100%	Mostly Nuclear	74,671	48.2	46.2	10.4
C19orf54	Q5BKX5	UPF0692 protein C19orf54	37.8	351	5	0					100%	0%	Mostly Cytosolic	5,285	12.0	3.3	0.6
C19orf66	Q9NUL5	UPF0515 protein C19orf66	33.1	291	27	0					55%	45%	Organellar and Cytosolic	2,553	6.4	1.6	0.3
C19orf68	Q86XI8	Uncharacterized protein C19orf68	70.1	627	12	0					28%	72%	Nuclear and Cytosolic	3,977	9.7	2.5	0.9
C1D	Q13901	Nuclear nucleic acid-binding protein C1D	16.0	141	37	0					26%	74%	Nuclear and Cytosolic	100,574	53.5	62.2	5.0
C1orf109	Q9NX04	Uncharacterized protein C1orf109	23.4	203	33	0					69%	31%	Nuclear and Cytosolic	17,073	25.3	10.6	1.2
C1orf112	Q9NSG2	Uncharacterized protein C1orf112	96.6	853	27	0					92%	8%	Mostly Cytosolic	6,482	14.0	4.0	1.9
C1orf131	Q8NDD1	Uncharacterized protein C1orf131	32.8	294	127	0					0%	100%	Mostly Nuclear	155,877	60.2	96.4	15.9
C1orf174	Q8IYL3	UPF0688 protein C1orf174	26.0	243	86	0					5%	95%	Mostly Nuclear	167,277	61.4	103.5	13.5
C1orf198	Q9H425	Uncharacterized protein C1orf198	36.3	327	62	0					76%	24%	Nuclear and Cytosolic	28,802	33.0	17.8	3.3
C1orf226	A1L170-2	Uncharacterized protein C1orf226	33.7	315	120	0					0%	100%	Mostly Organellar	15,058	23.7	9.3	1.6
C1orf50	Q9BV19	Uncharacterized protein C1orf50	21.9	199	35	0					100%	0%	Mostly Cytosolic	57,651	43.7	35.7	3.9
C1orf52	Q8N6N3	UPF0690 protein C1orf52	20.6	182	50	0					91%	9%	Mostly Cytosolic	135,456	58.0	83.8	8.7
C1orf53	Q5VUE5	Uncharacterized protein C1orf53	15.5	145	18	0					0%	100%	Mostly Organellar	3,883	9.4	2.4	0.2
C1QL1	O75973	C1q-related factor	26.5	258	50	0					0%	100%	Mostly Organellar	7,604	15.5	4.7	0.6
C1RL	Q9NZP8	Complement C1r subcomponent-like protein	53.5	487	17	0					0%	100%	Mostly Organellar	1,171	2.2	0.7	0.2
C20orf24	Q9BUV8	Uncharacterized protein C20orf24	15.5	137	105	0					0%	100%	Mostly Organellar	65,203	45.7	40.3	3.1
C2CD2L	O14523	C2 domain-containing protein 2-like	76.2	706	44	0					0%	100%	Mostly Organellar	1,436	3.0	0.9	0.3
C2CD3	Q4AC94	C2 domain-containing protein 3	260.4	2353	56	0					57%	43%	Organellar and Cytosolic	1,366	2.7	0.8	1.1
C2orf44	Q9H6R7	WD repeat and coiled-coil-containing protein C2orf44	79.1	721	54	0					100%	0%	Mostly Cytosolic	15,234	23.9	9.4	3.7
C2orf49	Q9BVC5	Ashwin	25.9	232	179	0					2%	98%	Mostly Nuclear	145,031	58.9	89.7	11.7
C2orf69	Q8N8R5	UPF0565 protein C2orf69	43.4	385	18	0					99%	1%	Mostly Cytosolic	12,321	21.4	7.6	1.7
C2orf76	Q3KRA6	UPF0538 protein C2orf76	14.6	126	27	0					98%	2%	Mostly Cytosolic	129,581	57.3	80.2	5.9
C3orf33	Q6P1S2	Protein C3orf33	33.8	294	41	0					0%	100%	Mostly Organellar	6,710	14.3	4.2	0.7
C3orf38	Q5JPI3	Uncharacterized protein C3orf38	37.5	329	24	0					89%	11%	Mostly Cytosolic	22,281	29.3	13.8	2.6
C4orf29	Q0P651	Uncharacterized protein C4orf29	47.0	414	19	0					0%	100%	Mostly Organellar	1,199	2.2	0.7	0.2
C4orf32	Q8N8J7	Uncharacterized protein C4orf32	14.7	132	11	0					32%	68%	Organellar and Cytosolic	21,415	28.5	13.2	1.0
C5AR1	P21730	C5a anaphylatoxin chemotactic receptor 1	39.3	350	34	0					0%	100%	Mostly Organellar	5,379	12.2	3.3	0.7
C5orf22	Q49AR2	UPF0489 protein C5orf22	50.0	442	88	0					94%	6%	Mostly Cytosolic	61,748	44.9	38.2	9.6
C5orf24	Q7Z6I8	UPF0461 protein C5orf24	20.1	188	84	0					0%	100%	Mostly Nuclear	202,346	64.2	125.2	12.7
C5orf28	Q0VDI3	Transmembrane protein C5orf28	24.2	215	25	0					0%	100%	Mostly Organellar	5,387	12.2	3.3	0.4
C5orf30	Q96GV9	UNC119-binding protein C5orf30	23.1	206	22	0					80%	20%	Nuclear and Cytosolic	24,562	30.5	15.2	1.8
C5orf34	Q96MH7	Uncharacterized protein C5orf34	72.9	638	47	0					92%	8%	Mostly Cytosolic	9,070	17.6	5.6	2.1
C5orf51	A6NDU8	UPF0600 protein C5orf51	33.6	294	153	0					97%	3%	Mostly Cytosolic	282,921	69.7	175.0	29.6
C6orf106	Q9H6K1	Uncharacterized protein C6orf106	32.9	298	89	0					99%	1%	Mostly Cytosolic	134,844	57.9	83.4	13.8
C6orf136	Q5SQH8-4	Uncharacterized protein C6orf136	54.7	496	28	0					11%	89%	Mostly Organellar	2,730	6.8	1.7	0.5
C6orf47	O95873	Uncharacterized protein C6orf47	31.7	294	40	0					0%	100%	Mostly Organellar	10,681	19.6	6.6	1.1
C6orf89	Q6UWU4	Bombesin receptor-activated protein C6orf89	39.9	347	41	0					0%	100%	Mostly Organellar	12,175	21.2	7.5	1.5
C7orf25	Q9BPX7	UPF0415 protein C7orf25	46.5	421	31	0					94%	6%	Mostly Cytosolic	23,126	29.7	14.3	3.3
C7orf26	Q96N11	Uncharacterized protein C7orf26	50.0	449	38	0					0%	100%	Mostly Nuclear	17,240	25.5	10.7	2.7
C7orf43	Q8WVR3	Uncharacterized protein C7orf43	62.6	580	27	0					0%	100%	Mostly Organellar	2,017	4.8	1.2	0.4
C7orf55	Q96HJ9	UPF0562 protein C7orf55	12.7	113	79	0					0%	100%	Mostly Organellar	51,383	41.9	31.8	2.0
C8orf37	Q96NL8	Protein C8orf37	23.4	207	13	0					100%	0%	Mostly Cytosolic	16,214	24.7	10.0	1.2
C8orf59	Q8N0T1	Uncharacterized protein C8orf59	11.5	100	121	0					28%	72%	Broad distribution	173,583	61.9	107.4	6.2
C8orf76	Q96K31	Uncharacterized protein C8orf76	43.3	380	27	0					100%	0%	Mostly Cytosolic	9,615	18.4	5.9	1.3
C9orf114	Q5T280	Putative methyltransferase C9orf114	42.0	376	164	0					0%	100%	Mostly Nuclear	214,277	65.2	132.6	28.0
C9orf142	Q9BUH6	Protein PAXX	21.6	204	76	0					97%	3%	Mostly Cytosolic	178,011	62.3	110.1	12.0
C9orf156	Q9BU70	Nef-associated protein 1	48.6	441	24	0					99%	1%	Mostly Cytosolic	13,432	22.3	8.3	2.0
C9orf16	Q9BUW7	UPF0184 protein C9orf16	9.1	83	8	0					100%	0%	Mostly Cytosolic	26,029	31.2	16.1	0.7
C9orf40	Q8IXQ3	Uncharacterized protein C9orf40	21.1	194	46	0					96%	4%	Mostly Cytosolic	98,749	53.0	61.1	6.5
C9orf41	Q8N4J0	UPF0586 protein C9orf41	47.2	409	66	0					89%	11%	Mostly Cytosolic	45,742	40.0	28.3	6.7
C9orf64	Q5T6V5	UPF0553 protein C9orf64	39.0	341	207	0					99%	1%	Mostly Cytosolic	627,244	80.7	388.0	76.1
C9orf89	Q96LW7-2	Bcl10-interacting CARD protein	20.6	183	226	0					0%	100%	Mostly Organellar	81,865	49.7	50.6	5.2
C9orf91	Q5VZI3	Transmembrane protein C9orf91	37.6	342	17	0					0%	100%	Mostly Organellar	2,228	5.4	1.4	0.3
CABIN1	Q9Y6J0	Calcineurin-binding protein cabin-1	246.4	2220	163	0					1%	99%	Mostly Nuclear	12,788	21.7	7.9	9.8
CABLES1	Q8TDN4	CDK5 and ABL1 enzyme substrate 1	67.6	633	28	0					0%	100%	Mostly Organellar	1,474	3.1	0.9	0.3
CACNB2	Q08289	Voltage-dependent L-type calcium channel subunit beta-2	73.6	660	28	0					19%	81%	Organellar and Cytosolic	1,170	2.1	0.7	0.3
CACNB3	P54284-5	Voltage-dependent L-type calcium channel subunit beta-3	50.0	443	17	0					60%	40%	Organellar and Cytosolic	2,054	4.9	1.3	0.3
CACUL1	Q86Y37	CDK2-associated and cullin domain-containing protein 1	41.1	369	57	0					95%	5%	Mostly Cytosolic	73,959	48.0	45.8	9.4
CALCOCO1	Q9P1Z2	Calcium-binding and coiled-coil domain-containing protein 1	77.3	691	29	0					100%	0%	Mostly Cytosolic	7,617	15.6	4.7	1.8
CALCOCO2	Q13137-4	Calcium-binding and coiled-coil domain-containing protein 2	55.2	470	176	0					52%	48%	Organellar and Cytosolic	89,603	51.4	55.4	15.4
CALD1	Q05682-5	Caldesmon	61.2	532	26	0					11%	89%	Broad distribution	2,987	7.4	1.8	0.6
CALD1	Q05682	Caldesmon	93.2	793	10	0					0%	100%	Mostly Nuclear	694	1.0	0.4	0.2
CAMK1D	Q8IU85	Calcium/calmodulin-dependent protein kinase type 1D	42.9	385	185	0					97%	3%	Mostly Cytosolic	214,456	65.2	132.7	28.6
